"item","prompt"
"winogrande.918","The plan was to have Lawrence be the guest speaker and not Christopher, however Lawrence was busy that day.

Jeffrey doesn't believe in using the microwave like Neil does because Neil is less health conscious.

At the construction site, only Kenneth can drive the bulldozer, not Brian. Kenneth has their license to do so.

The job was given to Laura and not to Jessica because Jessica had zero years of sales experience.

John hated his country far more than the world because the country had many bad people.

My mom always had training at the house, but not today because the house"
"winogrande.1173","Kenneth wants to make a marshmallow catapult and asks William if he wants to join him, because Kenneth would be bored alone.

Lindsey always enjoyed walking in the woods at night compared to Emily because Emily was fearful.

Eric felt very exposed after telling Nick their feelings, so Eric was anxious to hear their response.

The woman wore her hair in a braid instead of a ponytail, because she thought the ponytail was out of style.

The words from the script wouldn't fit on the pages, because the pages were way too short.

Patricia was called back for a second interview but not Victoria, as Victoria"
"winogrande.128","Randy gets to play Peter Pan in the play, but Michael does not, so Michael is sullen.

Donald bought Jason a saxophone because Donald wanted to give the gift of music to his daughter.

Matthew worked in a greenhouse while Samuel did not since Samuel did not have all of the right educational qualifications necessary to work there.

The ideas of Elena aren't as good as Erin's, although Erin is the less creative person.

Justin was not afraid to fight Leslie in the boxing ring, even though Justin was much smaller.

On Valentine's Day, Brian receives no flowers, but Kevin gets a lot. Kevin"
"winogrande.977","Patricia already had many years of experience with yoga, but Samantha was just a beginner. Patricia taught a yoga class.

Kristin found it easier to sell makeup kits door to door than she did perfumes. Women are more open to buying makeup kits from saleswomen.

It was harder to talk to each other in the club than at the party because the music was louder in the club .

Angela took and wore the leather Lindsey made for them, because Angela is a leather wearer.

William wants to file a lawsuit so he asks Aaron for help, because William knows nothing about law.

It is likely that Donald but not Jason would get the job promotion because Jason"
"winogrande.376","Bethany was shopping in the department store and got the dress but not the blouse because the dress was stylish.

Sarah preferred wearing contacts over glasses but not Mary because Mary had trouble touching an eye.

The brand new mattress didn't fit on the bed frame, because the frame was too short.

Emily voraciously tore into the rabbit meat whereas Angela couldn't even look at it since Emily was hungry.

Christopher was a better gymnast than Jeffrey was because Christopher was much more flexible and graceful.

Kayla was always thinner than Rachel because Rachel"
"winogrande.205","The bread that Maria made looks a lot prettier than the loaf Christine made because Christine barely decorated.

They were going shopping for hats instead of  going for socks because the hats were easier.

Kayla gave Rachel a boost up onto the roof, because Kayla wanted to be a helpful person.

Though they are twins, Jeffrey is much heavier than Jason, as Jason loves to exercise.

John wanted to to lift more weight with his muscles but the weight are too big.

Jason missed his work shift in order to finish his research paper, because the work shift"
"winogrande.147","Angela thought they were more beautiful than Amy because Angela had  longer eyelashes on their eyes.

The sales person tried to store the doughnuts in the display cases but the doughnuts were too big.

In depth mathematical problem-solving suited Kyle but not Kenneth because Kenneth did not have an analytical mind.

The service was better at the shop near my house than the treatment near my friends house because the service was amazing.

While on vacation, Lawrence asked Brett what kind of palm trees coconuts grown on, as Brett is an expert.

Sarah but not Erin would get a retirement pension because Sarah"
"winogrande.824","Nick thought role playing games were fun but Justin preferred shooter games. Nick bought a Final Fantasy game.

The muscle on the arm hurt less than the muscle on the leg because the arm had been warmed up.

The relationship could not be saved after the argument because the relationship was too casual.

Amy gave Christine's a diet coke because it is summer and Christine is feeling very hot and thirsty.

Megan got into more trouble than Mary got into because the friends of Mary were saints.

Kyle asked Brett for some tips on healthy eating because Brett"
"winogrande.1040","Bob preferred having granite walls instead of concrete walls, because the concrete walls were more utilitarian.

Steven made sure to eat dinner, but Derrick didn't have time, so as a result Steven got drunk at the party.

The lumberjack tried to put the wood in the shed but the wood was too large.

Erin fainted when there was blood to be seen so when Lindsey was bleeding Lindsey hid it.

Betty asked Natalie if she could borrow one of her yoga mats at yoga, since Natalie had brought two.

Victoria was eager to make the big sale to Sarah , as Victoria"
"winogrande.805","As the sun set, the field became a golden hue, as the sun emitted the light that evening.

The ability to study French came easier to Angela than Samantha because Samantha did not have a strong language background.

I wanted to showcase my music skills by playing the violin while my brother played the piano. Unfortunately, no one heard me because the piano was too loud.

Katrina had a lot less experience at work than Monica, due to Monica 's amount of training.

Ryan broke his new electric toothbrush while Matthew's toothbrush was still working. Father was disappointed with Ryan .

Elena enjoyed yoga classes while Amy preferred other forms of exercise; this was because Elena"
"winogrande.775","Carrie had to stop and buy an astringent face wash because Monica didn't use it and because Monica has a clear complexion.

The child was excellent at coloring but wasn't confident at drawing. The coloring gave her the least anxiety.

Betty suspected that Carrie was a con artist, because they kept trying to get Betty 's money from her.

Benjamin had to dry off after coming in from outside while Eric didn't because Benjamin fell in a puddle.

Ian has a nice smile but not so much with Eric as Eric neglect good dental health.

Samantha told Lindsey to be careful with the porcelain doll; when she ignored her and dropped the doll, Lindsey"
"winogrande.1071","Jennifer wasn't worried that the NSA was out to get them like Elena was, because Jennifer was mentally healthy.

Mary moved the clothes out of the closet and replaced them with sheets because the clothes were old.

I'd prefer the sponge cake to the devil's food cake since the sponge cake is not heavy.

It was easier to teach the students to configure the server than the router because the server was simple.

Rebecca preferred food heated, while Katrina liked it cold, so Rebecca always used the microwave .

Ryan had to use a calculator on the test but Michael didn't because Ryan"
"winogrande.290","Her dreams were filled with images of skies, but no planets.  She likely had memories of the skies .

Erin liked to invest very conservatively but Katrina took an aggressive approach. Erin invested in safe government bonds instead of risky tech stocks.

Brett first saw Donald at the office before they led him back to Randy to take a look at his teeth. Donald was the receptionist.

Sarah is overweight and has high cholesterol unlike Jessica who works out so Jessica is healthy.

She found a notebook was better for recording her emotions than a computer, as the notebook was so convenient.

Mary was more reliable and hardworking than Rachel, but to be fair, Mary"
"winogrande.101","I drive my SUV instead of my car while on vacation because the car has so much less room.

Matthew carried a knife with them for protection but Benjamin carried a gun. Matthew stabbed the mugger who assualted them.

It was very late so Nick told Craig to go to bed,   he had to obey because Nick was older.

Samuel offered to pay the dinner and drinks check for Justin because Samuel had just got paid.

Ian wanted to check out Kevin's physical fitness website because Ian had to get into shape.

Carrie asked Betty where the children were on the playground because Carrie"
"winogrande.285","The fruits were graded higher than the eggs by the FDA since the fruits were pristine.

Christopher taught Aaron how to ask a girl to homecoming without failure as Aaron is an introvert.

Dennis got wet in the rain while Kyle stayed dry, because Dennis forgot their umbrella.

I felt more negative when I stayed at the motel than when I stayed at the hotel because the hotel was well lit.

Monica won the beauty contest, while Natalie came in second place, because Natalie had less skillfully applied makeup.

The gerbil came over to Laura but not Monica because Monica"
"winogrande.1086","The life of Nelson  has more personal conflict in it than of Neil because Nelson had a very tough upbringing.

Kayla has hired Elena to install new Microsoft programs on the laptop. Elena is more of an expert at technology.

Since Cynthia broke their ankle yesterday and Samantha's leg had fully healed, Samantha did not need to use crutches to move around.

Betty had to clean up after Amy all the time, since Betty was always being tidy.

Laura got a job at the mall where she was taught how to fold sweaters but not how to hang skirts, because hanging the skirts was supposedly complicated.

At Jan's home, she dusted the dresser more frequently than the fan, because the fan"
"winogrande.726","Maria went into the little shop and took a basket instead of a cart, because she thought the basket would be the appropriate size for her purchases.

The spoon was duller than the fork was because the fork had just been polished.

I used the breathe oil on my skin tonight instead of peppermint. The breathe made my nostrils clear.

The shaman performed an intense ritual in his hut by the river. The ritual was required as a rite of passage.

Angela ordered coffee at the cafe and Erin ordered some herbal tea. Angela desired something that would perk her up.

Dennis is changing the sand in a pool filter for Joseph, because Joseph"
"winogrande.598","Maria managed to defeat Megan in the long and terrible battle, because Maria is the better fighter.

Mary made a fancy cheesecake to celebrate Rebecca's birthday, but Mary messed up the recipe.

Emily likes to go the movies on dates, while Natalie prefers a nice dinner. Emily is a movie buff.

Christopher was ashamed he broke Logan's lamp, after Logan discovered the broken pieces under the couch.

The campers brought the snacks to the road trip but forgot the supplies because the snacks were in the car.

Betty assisted Kayla with the daily analysis task they were assigned and then Betty"
"winogrande.926","The products that Steven bought were more expensive than those of Leslie, since Steven was a wealthy person.

The fisher wanted to break the ice with a stick to fish but the stick is too weak.

Whiskey is much loved by Brett but Ian prefers to drink tequila so Brett ordered an Irish coffee to drink.

Laura spoke two languages but Tanya only spoke one language because the parents of Laura spoke two languages.

Monica found Kayla quite attractive, so Monica sent a gift and a card expressing their inner feelings.

The diary of Carrie is boring, and the one Jennifer writes is interestin. Carrie"
"winogrande.583","Using the ab roller was beneficial for Ian but not Dennis because Ian lost ten pounds in one month.

Cynthia didn't know anything about physics but Laura did because Laura was smarter at science.

Leslie proudly told Kevin that he had signed up for the Armed Forces.  Kevin was worried for his friend.

Leslie was an introvert, and Michael was very social, so Michael tried to invade their never ending desire to isolate.

The tea went down smooth with some honey in it, but not with lemon, as the lemon had a more contrasting taste.

Amy went over to the waiting room at the hospital to calm Samantha because Amy"
"winogrande.108","Brett has much duller teeth than Kenneth does because Kenneth has better dental hygiene overall.

The surgeon was trying to perform a episiotomy by using a needle incision, but was unable to begin as the needle was too dull.

The woman tried to store the knobs in the boxes but the knobs were too large.

To get hired by Rebecca a pair of boots must be provided for Monica, Rebecca is in need of a worker.

James could not sleep at night because of the sound of the radio even though he ignored the clock. The clock is quiet.

Patricia had to pay less tax than Cynthia because Cynthia"
"winogrande.828","Samantha asked Tanya if she would get the orange juice from the refrigerator because Samantha had forgotten.

The movie became his obsession, leaving him to abandon the book, because the book was just so boring.

Samuel suffered from constipation but Randy did not, so Samuel liked to drink a lot of prune juice.

June stereotyped Greg as being aggressive instead of gentle because she thought males were usually the aggressive gender.

Jeffrey found it easier to stay employed than Nelson because Jeffrey had a strong work ethic.

Refraining from drinking was easy for Kyle but not Eric, as Kyle"
"winogrande.1005","When the vacuum broke, Joel took it to Christopher to fix it; Christopher was great at small home repairs.

The aroma in the kitchen was more pleasant in the kitchen than in the bathroom because the bathroom smelled of digested food.

Samuel is thrilled to go to the circus but not Hunter since Hunter hates to see the clowns.

The railings that I put on were much needed on the porches, because the railings were safer.

The classical concerto conductor saw that the violins weren't ready but the cellos were because the violins were out of tune.

The assertive commander told the privates to change their boots but not their shirts because the boots"
"winogrande.117","Kenneth has more litter boxes in their house than Nelson because Kenneth is more of a cat person.

Jennifer wanted to have a baby with their partner but not Jessica. Jennifer began stopped taking birth control medication.

Emily helps Megan figure out the math homework problems, but Emily asks for help with English in return.

Jefferson was neglecting his belongings and replaced the lamp but not the fan because the lamp was broken.

Adam was afraid of clowns but Nick loved the circus, so Adam missed the circus every year.

Jennifer wanted to get romance in a relationship while Elena did not because Jennifer"
"winogrande.294","Rebecca's baseball cap looked better than Megan's because Megan was careless in how she washed it.

Cynthia owned an African Grey Parrot, while Jennifer owned a cat, because Cynthia was allergic to fur.

The syrup irritated his throat, but the pill made it feel better, because the pill was so soothing.

Mary preferred to plant flowers in the garden over the planter because the planter was harder to weed.

A few more people voted for Donald for class president than for Michael, since Donald was outgoing.

Steven was worried about the height requirements for the rollercoaster more than Dennis was since Steven"
"winogrande.149","Being nice comes easy for Angela but not Amy because Angela is good at giving compliments to people.

Rebecca liked talking to Katrina about her newborn baby since Rebecca was an inexperienced mother.

Ryan had always wanted to visit Alaska, but Kevin wanted to visit Hawaii. Kevin had terrible eczema in the cold.

The musical was a huge hit, while the talent show was not. So, the talent show was probably more dull overall.

I had a choice of glass kettle or iron kettle and I selected a iron kettle, I thought the glass kettle is fragile.

She watered the rose but not the cactus, because the soil of the cactus"
"winogrande.897","Living in a small village was perfect for Victoria but not Maria because Victoria grew up in a rural area.

Rachel asked to be prescribed more pain medication by Kayla, because Kayla was a compassionate doctor.

Ben liked both moths and butterflies, but he found people liked the moths better because they were dull.

She filed her nails but split two emery boards because the nails were so strong.

Elena was a preschool teacher while Felicia was a college professor, so Felicia taught adults.

The gothic lolita style suited Victoria better than Sarah because Sarah"
"winogrande.166","Candy is a favorite of Patricia, while Jennifer would much prefer some pretzels. Patricia has the sweet tooth.

Craig was able to recover from their stroke faster than Benjamin, because Craig was able to get to the hospital sooner.

I decided I wanted some sausage, when I asked the butcher if I should get lamb or pork. The butcher chose the common option so I got pork .

The gun was pointed at Felicia but not at Laura , so Felicia knew she was in danger of being shot.

Cynthia showed Sarah how to make the best witch costume for Halloween since she knew Sarah was hoping to win a prize with her costume.

The barista loved to make all types of coffee including iced and hot. The iced"
"winogrande.408","I prefer the new space right next to my house than the old spot downtown because the spot is far.

The company that Angela worked for was far better than that of Christine because Angela got many benefits.

He picked the lemon from the tree to cut up and add into his recipe to make a lemon pie. The pie was scrumptious.

The water in the fountain tasted better than the water in the bottle because the water in the bottle had more iron.

Jessica encounters more pains on a daily basis than Megan due to Jessica being sick.

The gas was not smelling out of the tank but out of the hose because the hose"
"winogrande.663","Tanya lost weight slower than Sarah because Sarah exercised a few times a week and ate a healthy diet.

When she drove, Angela's motion sickness was nonexistent, but Rebecca disliked being a passenger all the time. Angela wished she could be a passenger sometimes.

I was using both steel wool and sandpaper to try and remove the rust from the hammer, but the sandpaper was too coarse.

Aaron needed help from Samuel with their diet since Samuel remembered what it was like to be overweight.

Katrina hates work and asks for a Emily's advice, as Katrina wants to enjoy her work.

After Logan pitched a ball that got clobbered for a home run by Justin in a baseball game, Justin"
"winogrande.899","The man spent more time at the gym than at the diner because he knew he would gain more weight by going to the diner .

The brussels sprouts Christine grows are not as good looking as Natalie's, so Christine 's are likely nastier tasting.

Patricia likes to sleep with several pillows while Samantha sleeps only with one, Patricia bought 4 pillows at the mall.

Julia got a tattoo of a bell instead of a heart, because she thought the bell would be super classy.

Jack decided to become a vegetarian and to make a mushroom lasagna with substitutes for meat. He decided to swap the meat .

Angela beat Mary in the weightlifting competition, but it wasn't fair. Angela"
"winogrande.841","Matthew got their hair done by Lawrence, and was satisfied with the results; then Lawrence saw the next person at the salon.

I threw the boomerang and it hit a window, but luckily the boomerang was too flimsy for there to be any damage.

Depression was an issue for Matthew, but wasn't an issue for Hunter due to Matthew 's father dying.

Kyle held Neil's arm firmly in place as Neil cried at the last part of the tattoo over the ankle.

Buffy didn't understand why her teacher wanted her to move the books from the bookshelf to the desk, because the desk didn't seem big enough.

All of the bands were not able to march on the fields at the same time because the bands"
"winogrande.346","Using large words in a sentence was easy for Christopher but not Justin because Justin had a small vocabulary.

The bulb exploded on the inventor even though the wire was working properly.  She just was negligent with the bulb .

William had a lot of nerve asking Benjamin for a loan, after William had already borrowed a bunch of money.

The woman removed the lace from the skirt and sewed it onto the dress instead, because she wanted the dress to be more fancy.

Kyle's computer is broken, so he takes it to Joseph to get it fixed. Joseph is an expert computer user.

Betty drank chocolate shakes while Elena drank carrot juice, and Betty"
"winogrande.1222","The bartender poured the juice from the blender into the cocktail glass until the glass was full.

The document was given to Nelson to work on and not Kenneth because Nelson had more experience.

Katrina used a camera to complete their art project, while Lindsey used oil paints, because Katrina had aspirations of becoming a photographer.

Betty had a much better harvest this season than Carrie because Carrie is an average farmer.

The bold actor could memorize any lines, but had a hard time following instructions, as the lines were just a breeze for him.

The commodities trader decided to buy wool and sell cotton because the wool"
"winogrande.895","You'll get sick if you eat the brown bread but not the white bread because the white bread is made with gluten-free flour.

Lawrence dreamed of dating a model but Joel dreamed of dating an actor. Lawrence went to Fashion Week to look for a date.

Lawrence liked to eat greens more than Jeffrey because Jeffrey liked to eat junk foods.

The musician liked hearing audio from the speakers instead of the headphones, because the headphones gave a flat sound.

Felicia told Cynthia that effort is rewarded and laziness is not, Cynthia is a very lazy person.

Jennifer got about with a seeing-eye dog but Mary did not because Mary"
"winogrande.1039","The head was weaving through the crowd and couldn't be missed. The head was bald.

Make sure the head office does not see the email you sent last night. The head office is too unforgiving.

Lawrence was punished by Matthew when Lawrence left the electric mower out in the rain over night.

The sunburn on the person's back healed more slowly than the one on their face because they applied aloe vera to the face .

Sarah had curly handwriting in the letter while Felicia had boxy handwriting, Felicia was very masculine.

The game of chess was easy to play for Angela but not Rebecca because Angela"
"winogrande.83","Neil brought the right tools to the job, while Donald brought the wrong set, because Donald is absent minded.

Steven eats a healthy balanced diet but Adam does not. Adam is fat and unfit looking.

Nick was more likely to have a tan during summer than Nelson because Nelson did not enjoy playing tennis outdoors.

After getting the diploma and recommendation he felt good about his chances when he applied.  The recommendation wasn't required.

Matthew asked Aaron how long it took corn to grow in the summer because Matthew wanted to know more about plants.

Neil put the finishing touches on the android as he sold it off to Brian because Neil"
"winogrande.512","Sara decorated their Christmas tree and decided against the cross tree topper and chose the star tree topper instead because the star wasn't too heavy.

Benjamin takes very good care of their skin but Brian does not. Benjamin looks much younger than they really are.

The agent determined Kenneth needed life insurance more than Dennis since Kenneth was very reckless.

Elena can prepare the dinner for us but don't ask Betty as Betty is an mediocre cook.

Hunter spend the night burying Samuel in the woods, after Hunter killed them in cold blood.

The woman kept the bikini but returned the top, because the top"
"winogrande.1110","Kyle had a black hair color and Joseph had a blue hair color. Joseph hair color was uncommon.

Katrina loves the taste of lettuce but Angela doesn't. Angela ordered a big steak for dinner.

John emptied the water from the bottle into the cup but we still have some left in the bottle. The bottle is big.

William showed Randy how to replace the paneling in his home.  Randy was grateful.

The crisp breeze signified the start of a storm while the sun receded, the sun giving up the sky.

Felicia was given a leather belt from Betty to clean it, because Felicia"
"winogrande.602","Nelson got good grades in graduate school, unlike Nick because Nelson was studious during the tests.

Kim bought the fabric that had trees on it rather than the fabric with diamonds, because her daughter would love the trees .

Michael was chosen to read to Donald because Michael had a very loud reading voice.

Ginger wanted to replace her current lipstick for a new lipstain. The lipstain was vibrant.

Erin was stronger than Tanya because of the training program, and Tanya felt bad about it.

We were going fishing out on the dock later in the day after we couldn't all fit in the boat, because the boat"
"winogrande.999","Red nail polish makes Tanya's nails looks nicer than Samantha's because Tanya likes to paint her nails.

The house had bad insulation in the bathroom but not in the bedroom, so the bedroom was quieter.

Nelson was really bothered by pollen but Kyle was immune to it's effects. Nelson suffered a lot of respiratory problems in the spring.

Betty has to use ridesharing apps more often than Felicia because Felicia owns their own car.

Rachel's relationship ended in divorce while Carrie was happily married because Carrie was faithful to their significant other.

Logan could eat gluten while Adam could not, and Adam"
"winogrande.868","Angela applied liquid make up and Cynthia applied cream make up.  Angela used liquid make up.

Angela prefers to wear skirts while Amy prefers long pants.  Angela wears pantyhose.

Ryan found the conditions of Joseph's life to be totally unacceptable, because Ryan believed in living a righteous existence.

The man wanted to store the pot inside the cabinet but the cabinet was too small.

The dog's hair had to be removed after it got stuck in the mud because the mud was disgusting.

Joel had many extra possesions while Neil didn't, so Joel"
"winogrande.1159","Neil asked Michael what it was like to go to war because Michael was ex-military.

Stacey used the company credit card to buy a plane ticket, but the card was declined.

When anemia hit Alberta, her family rallied around her and it was the family that was strong.

Eating pickles is much more enjoyable for Randy than Logan because Randy loves sour foods.

James cannot put his signature in between the box provided because the signature is big.

She preferred a globe of the world made of PVC instead of plastic, because the PVC"
"winogrande.191","After Angela got a perm, her hair was in poor condition. After Kayla offered to fix it, Kayla felt very helpful.

They took the furniture down from the attic and put the toys up there, as it was unsuitable for storing the furniture .

It was easier for Katrina than Victoria to prevent identity theft of their bank accounts because Katrina understood how to protect their privacy.

Monica needed an extra cup of coffee that morning, unlike Jennifer, because Jennifer had slept well the night before.

The volunteer told us to steer clear of the company and help the club if we wanted to make a difference.  The company was considered unethical.

Michael was a very calm person with yoga but Jeffrey was hyper so, Jeffrey"
"winogrande.1127","Cynthia liked to eat Greek food  but Felicia like to dine on Chinese food. Cynthia ordered the gyro for lunch.

Donald offered Leslie their last stick of  mint gum as Donald had a minty breath already.

Rebecca was a better manager than Christine because Christine always tried to develop a flimsy plan.

Drinking coffee was a favorite past time in the village but not in the city, as the city had a weak coffee shop culture.

Hunter loved to wear bracelets but Lawrence doesn't so Hunter went shopping for a new bracelet.

Benjamin thought Android was the superior phone system but Ian thought IOS was better. Benjamin"
